ref,url,title,date_of_incident,company,category,incident_type,severity,location,escalation_stage,sources
TMR-0084,https://themachinerecord.com/case/a-tesla-robotaxi-model-y-drove-into-the-side-of-a-parked-toyota-camry-in-the-par-0084,"A Tesla Robotaxi (Model Y) drove into the side of a parked Toyota Camry in the parking lot of Home Slice Pizza in Austin after completing a drop-off, lightly grazing the Camry's right tire.",2025-07-06,Tesla,autonomous_vehicle,collision,property_damage,"Austin, Texas, USA",report,1
TMR-0085,https://themachinerecord.com/case/a-waymo-robotaxi-stalled-while-making-a-u-turn-in-front-of-vice-president-kamala-0085,"A Waymo robotaxi stalled while making a U-turn in front of Vice President Kamala Harris' motorcade in San Francisco, requiring an SFPD officer to manually drive the vehicle out of the way.",2024-09-27,Waymo,autonomous_vehicle,malfunction,no_harm,"San Francisco, California, USA",report,1
TMR-0087,https://themachinerecord.com/case/a-tesla-robotaxi-safety-monitor-pressed-a-stop-button-on-the-center-touchscreen--0087,"A Tesla Robotaxi safety monitor pressed a stop button on the center touchscreen to prevent a near-collision with a reversing UPS truck as the autonomous vehicle attempted to pull into a parking spot in Austin, Texas.",2025-06-22,Tesla,autonomous_vehicle,near_miss,no_harm,"Austin, Texas, USA",report,1
TMR-0089,https://themachinerecord.com/case/two-cruise-autonomous-vehicles-stopped-in-traffic-lanes-on-august-14-2023-in-san-0089,"Two Cruise autonomous vehicles stopped in traffic lanes on August 14, 2023 in San Francisco, allegedly delaying an ambulance transporting a pedestrian with life-threatening injuries who later died at the hospital, though Cruise disputes that its vehicles impeded the ambulance.",2023-08-14,Cruise,autonomous_vehicle,other,fatality,"San Francisco, California, USA",report,2
TMR-0090,https://themachinerecord.com/case/a-zoox-autonomous-test-vehicle-equipped-with-amazon-s-automated-driving-system-s-0090,"A Zoox autonomous test vehicle equipped with Amazon's automated driving system stopped suddenly in San Francisco and was rear-ended by a motorcyclist who suffered minor injuries to their hands, prompting an NHTSA investigation opened on May 10, 2024.",2024-05-13,Zoox,autonomous_vehicle,injury,minor_injury,"San Francisco, California, USA",investigation,3
TMR-0091,https://themachinerecord.com/case/a-waymo-driverless-robotaxi-struck-a-bicyclist-who-was-occluded-by-a-truck-at-th-0091,"A Waymo driverless robotaxi struck a bicyclist who was occluded by a truck at the intersection of 17th Street and Mississippi Street in San Francisco, resulting in minor injuries to the cyclist who was not taken to the hospital.",2024-02-06,Waymo,autonomous_vehicle,collision,minor_injury,"San Francisco, California, USA",investigation,5
TMR-0092,https://themachinerecord.com/case/a-robot-vacuum-exploded-at-a-home-in-brabham-perth-critically-burning-25-year-ol-0092,"A robot vacuum exploded at a home in Brabham, Perth, critically burning a 25-year-old man over approximately 75% of his body and destroying the property.",2026-07-03,,consumer,fire,serious_injury,"Brabham, Western Australia, Australia",follow_up,9
TMR-0093,https://themachinerecord.com/case/a-robot-vacuum-cleaner-knocked-a-heat-gun-onto-the-floor-of-a-kailua-home-causin-0093,"A robot vacuum cleaner knocked a heat gun onto the floor of a Kailua home, causing it to turn on and start a fire that resulted in approximately $760,000 in damage to the structure and contents.",2024-04-22,,consumer,fire,property_damage,"Kailua, Hawaii, USA",report,1
TMR-0094,https://themachinerecord.com/case/a-proposed-class-action-lawsuit-alleges-that-ecovacs-deebot-robot-vacuums-contai-0094,A proposed class action lawsuit alleges that Ecovacs Deebot robot vacuums contain a defective motor built from substandard materials that causes the devices to fail prematurely and become wholly inoperable.,2023-05-12,Ecovacs,consumer,lawsuit,no_harm,,report,1
TMR-0095,https://themachinerecord.com/case/a-robotic-vacuum-cleaner-docked-in-its-charging-station-caused-a-fire-in-a-bunga-0095,"A robotic vacuum cleaner docked in its charging station caused a fire in a bungalow in Holland-on-Sea, Essex, resulting in two residents being treated for smoke inhalation and the lounge being severely damaged.",2023-04-09,,consumer,fire,minor_injury,"Holland-on-Sea, Essex, England, UK",report,1
TMR-0096,https://themachinerecord.com/case/irobot-warned-owners-that-certain-roomba-i7-clean-base-docking-stations-could-ma-0096,iRobot warned owners that certain Roomba i7+ Clean Base docking stations could malfunction and present a hazard if liquids collected by the robot vacuum were deposited into the unit.,2020-11-03,iRobot,consumer,recall,no_harm,,report,1
TMR-0097,https://themachinerecord.com/case/a-korean-housewife-s-hair-was-sucked-into-a-robot-vacuum-cleaner-causing-an-inci-0097,A Korean housewife's hair was sucked into a robot vacuum cleaner causing an incident at home.,2015-02-05,,consumer,injury,minor_injury,Korea,follow_up,5
TMR-0098,https://themachinerecord.com/case/hospitals-sue-surgical-robot-maker-over-allegedly-restrictive-contracts-0098,Hospitals sue surgical robot maker over allegedly restrictive contracts,2021-07-14,,surgical,lawsuit,no_harm,,report,1
TMR-0099,https://themachinerecord.com/case/class-certified-for-purchasers-in-antitrust-lawsuit-against-surgical-robot-manuf-0099,Class certified for purchasers in antitrust lawsuit against surgical robot manufacturer,2025-04-01,,surgical,lawsuit,no_harm,N.D. Cal.,report,1
TMR-0100,https://themachinerecord.com/case/lawsuits-allege-that-microscopic-cracks-in-the-insulating-covers-of-the-da-vinci-0100,Lawsuits allege that microscopic cracks in the insulating covers of the da Vinci Surgical System's Monopolar Curved Scissors allowed electrical current to leak and burn patients during minimally invasive surgeries at hospitals across the United States.,2013-06-14,Intuitive Surgical,surgical,injury,serious_injury,,report,1
TMR-0101,https://themachinerecord.com/case/asensus-surgical-issued-a-customer-alert-on-september-15-2023-warning-that-the-s-0101,"Asensus Surgical issued a customer alert on September 15, 2023, warning that the Senhance surgical robot's laparoscope instrument actuator could rotate continuously after disconnection from its remote control, posing a risk of tissue trauma, though no patient harm occurred, and the FDA classified it as a Class I recall.",2023-09-15,Asensus Surgical,surgical,recall,no_harm,,report,1
TMR-0102,https://themachinerecord.com/case/michelle-zarick-alleged-that-inadequately-insulated-electrified-scissors-on-the--0102,"Michelle Zarick alleged that inadequately insulated electrified scissors on the da Vinci robotic surgical system caused internal injuries during a 2009 hysterectomy, resulting in intestinal prolapse and emergency surgery requiring a hip-to-hip incision.",2009-01-01,Intuitive Surgical,surgical,lawsuit,serious_injury,"San Jose, California, USA",report,1
TMR-0103,https://themachinerecord.com/case/shareholders-filed-a-derivative-lawsuit-against-intuitive-surgical-alleging-the--0103,Shareholders filed a derivative lawsuit against Intuitive Surgical alleging the company underreported adverse events and concealed recalls related to its da Vinci surgical robot.,2014-03-25,Intuitive Surgical,surgical,lawsuit,serious_injury,,report,1
TMR-0104,https://themachinerecord.com/case/tesla-s-robotaxi-fleet-in-austin-accumulated-14-crashes-since-june-2025-includin-0104,"Tesla's Robotaxi fleet in Austin accumulated 14 crashes since June 2025, including one July 2025 incident later upgraded to require hospitalization, with the fleet crashing at approximately four times the rate of human drivers by Tesla's own benchmark.",2026-02-17,Tesla,autonomous_vehicle,collision,serious_injury,"Austin, Texas, USA",follow_up,2
TMR-0105,https://themachinerecord.com/case/tesla-s-optimus-humanoid-robot-production-is-reported-to-be-severely-behind-sche-0105,"Tesla's Optimus humanoid robot production is reported to be severely behind schedule due to technical bottlenecks with robot hands, with mostly complete units missing hands piling up at Tesla's facility.",2025-07-25,Tesla,humanoid,malfunction,no_harm,,report,1
TMR-0106,https://themachinerecord.com/case/during-the-spot-s-rampage-interactive-art-exhibit-in-a-brooklyn-studio-a-boston--0106,"During the 'Spot's Rampage' interactive art exhibit in a Brooklyn studio, a Boston Dynamics Spot robot equipped with a paintball gun malfunctioned and collapsed on its side approximately one hour after users began remotely controlling it to destroy artwork inside the space.",2021-02-24,Boston Dynamics,service,malfunction,property_damage,"Brooklyn, New York, USA",report,1
TMR-0107,https://themachinerecord.com/case/an-fdny-boston-dynamics-spot-robodog-fell-over-onto-its-side-while-surveying-the-0107,"An FDNY Boston Dynamics Spot robodog fell over onto its side while surveying the rubble of a collapsed parking garage in Manhattan, though it later recovered and helped locate the remains of a worker who died in the collapse.",2023-04-18,Boston Dynamics,service,malfunction,no_harm,"Manhattan, New York, USA",report,1
TMR-0108,https://themachinerecord.com/case/a-unitree-h1-humanoid-robot-suspended-from-a-crane-during-testing-in-a-chinese-f-0108,"A Unitree H1 humanoid robot suspended from a crane during testing in a Chinese factory suddenly malfunctioned, flailing its limbs, dragging its stand, and knocking a computer and other items to the floor while two handlers scrambled to avoid it.",2025-05-07,Unitree Robotics,humanoid,injury,property_damage,China,follow_up,2
TMR-0110,https://themachinerecord.com/case/a-boston-dynamics-robot-dog-fell-down-a-flight-of-stairs-and-broke-during-a-demo-0110,A Boston Dynamics robot dog fell down a flight of stairs and broke during a demonstration at Jaguar Land Rover's battery testing facility in Coventry.,2024-09-14,Boston Dynamics,service,malfunction,property_damage,"Coventry, England, UK",report,1
TMR-0111,https://themachinerecord.com/case/a-video-compilation-shows-multiple-delivery-robot-incidents-including-a-coco-rob-0111,"A video compilation shows multiple delivery robot incidents, including a Coco Robotics bot struck by a train, a Starship Technologies robot disrupting a marching band in Tennessee, a Coco bot dragged by a car in Los Angeles, another Coco bot falling down stairs, and a Serve Robotics bot left with a damaged tire after a collision.",2026-04-18,Coco Robotics,delivery,collision,property_damage,,report,1
TMR-0112,https://themachinerecord.com/case/a-starship-technologies-food-delivery-robot-waiting-in-a-curb-ramp-on-forbes-ave-0112,"A Starship Technologies food delivery robot waiting in a curb ramp on Forbes Avenue at Pitt's campus blocked the path of a wheelchair-using doctoral student, forcing her to alter her route to reach the sidewalk.",2019-10-21,Starship Technologies,delivery,other,no_harm,"Pittsburgh, Pennsylvania, USA",report,1
TMR-0113,https://themachinerecord.com/case/a-starship-technologies-delivery-robot-veered-into-a-canal-near-new-bradwell-in--0113,A Starship Technologies delivery robot veered into a canal near New Bradwell in Milton Keynes and had to be retrieved by the company.,2020-07-28,Starship Technologies,delivery,other,property_damage,"Milton Keynes, England, UK",report,1
TMR-0114,https://themachinerecord.com/case/two-starship-delivery-robots-faced-a-stalemate-on-a-cambridge-street-corner-unab-0114,"Two Starship delivery robots faced a stalemate on a Cambridge street corner, unable to pass each other.",2024-01-17,Starship Technologies,delivery,other,no_harm,"Cambridge, UK",report,1
TMR-0115,https://themachinerecord.com/case/a-pony-ai-autonomous-vehicle-operating-in-driverless-mode-struck-a-center-divide-0115,"A Pony.ai autonomous vehicle operating in driverless mode struck a center divider and traffic sign on Fremont Blvd in Fremont, California, sustaining moderate damage with no injuries reported.",2021-10-28,Pony.ai,autonomous_vehicle,other,property_damage,"Fremont, California, USA",report,1
TMR-0116,https://themachinerecord.com/case/a-waymo-robotaxi-collided-with-a-serve-robotics-sidewalk-delivery-robot-at-an-in-0116,"A Waymo robotaxi collided with a Serve Robotics sidewalk delivery robot at an intersection in West Hollywood, Los Angeles, with neither vehicle sustaining damage.",2024-12-27,Waymo,delivery,collision,no_harm,"West Hollywood, California, USA",report,1
TMR-0117,https://themachinerecord.com/case/a-waymo-robotaxi-slowing-to-turn-into-a-parking-lot-on-rural-road-near-arizona-s-0117,"A Waymo robotaxi slowing to turn into a parking lot on Rural Road near Arizona State University was rear-ended by a motorcyclist, who was then struck by a hit-and-run human driver and later died at the hospital.",2025-09-14,Waymo,autonomous_vehicle,fatality,fatality,"Tempe, Arizona, USA",report,1
TMR-0118,https://themachinerecord.com/case/a-cruise-self-driving-robotaxi-was-struck-by-a-san-francisco-fire-department-tru-0118,"A Cruise self-driving robotaxi was struck by a San Francisco Fire Department truck en route to an emergency at the intersection of Polk and Turk Streets in the Tenderloin district, resulting in one passenger being transported to a hospital with non-severe injuries.",2023-08-17,Cruise,autonomous_vehicle,collision,minor_injury,"San Francisco, California, USA",regulator,4
TMR-0119,https://themachinerecord.com/case/a-cruise-robotaxi-ran-over-a-pedestrian-who-had-been-pushed-into-its-path-by-a-h-0119,"A Cruise robotaxi ran over a pedestrian who had been pushed into its path by a hit-and-run vehicle and pinned the person beneath its tire in San Francisco, leading to California regulators revoking Cruise's robotaxi permits.",2023-10-02,Cruise,autonomous_vehicle,malfunction,serious_injury,"San Francisco, California, USA",report,27
TMR-0120,https://themachinerecord.com/case/a-cruise-autonomous-robotaxi-rear-ended-a-city-bus-at-approximately-10-mph-in-sa-0120,"A Cruise autonomous robotaxi rear-ended a city bus at approximately 10 MPH in San Francisco due to a software error in predicting the movement of articulated vehicles, prompting a voluntary recall of 300 AVs.",2023-04-10,Cruise,autonomous_vehicle,recall,minor_injury,"San Francisco, California, USA",report,1
TMR-0121,https://themachinerecord.com/case/a-driverless-waymo-jaguar-i-pace-robotaxi-collided-with-a-telephone-pole-at-8-mp-0121,"A driverless Waymo Jaguar I-Pace robotaxi collided with a telephone pole at 8 MPH while performing a low-speed pullover maneuver in an alley in Phoenix, sustaining damage but causing no injuries.",2024-05-21,Waymo,autonomous_vehicle,recall,property_damage,"Phoenix, Arizona, USA",recall,2
TMR-0123,https://themachinerecord.com/case/zoox-issues-software-recall-for-270-robotaxis-following-a-collision-in-las-vegas-0123,Zoox issues software recall for 270 robotaxis following a collision in Las Vegas,2025-05-06,Zoox,autonomous_vehicle,recall,no_harm,"Las Vegas, Nevada, USA",recall,4
TMR-0124,https://themachinerecord.com/case/zoox-issued-a-voluntary-software-recall-for-258-vehicles-equipped-with-autonomou-0124,"Zoox issued a voluntary software recall for 258 vehicles equipped with autonomous driving software released before November 5, 2024, following two incidents in which motorcyclists collided with the rear of Zoox-equipped Toyota Highlanders that were operating with their autonomous systems engaged.",2025-03-19,Zoox,autonomous_vehicle,recall,minor_injury,,report,1
TMR-0125,https://themachinerecord.com/case/a-unitree-g1-humanoid-robot-lost-its-balance-while-performing-in-front-of-a-crow-0125,"A Unitree G1 humanoid robot lost its balance while performing in front of a crowd in China, flailed its limbs during a recovery attempt, and kicked a man (apparently its operator) in the nose, causing bleeding and a possible fracture.",2026-02-18,Unitree Robotics,humanoid,injury,minor_injury,China,report,1
TMR-0126,https://themachinerecord.com/case/former-figure-ai-principal-robotic-safety-engineer-robert-gruendel-sued-the-comp-0126,"Former Figure AI principal robotic safety engineer Robert Gruendel sued the company in the Northern District of California, alleging he was dismissed in September 2025 after warning executives that the company's humanoid robots were powerful enough to fracture a human skull, and citing a malfunction in which a robot carved a quarter-inch gash into a steel refrigerator door.",2025-09-01,Figure AI,humanoid,lawsuit,property_damage,"Northern District of California, USA",lawsuit,4
TMR-0127,https://themachinerecord.com/case/figure-ai-retired-its-figure-02-humanoid-robots-after-an-11-month-deployment-at--0127,"Figure AI retired its Figure 02 humanoid robots after an 11-month deployment at BMW Manufacturing's Spartanburg, South Carolina plant, where they loaded sheet-metal parts and contributed to the production of over 30,000 BMW X3 vehicles, accumulating visible wear and tear but no reported injuries.",2025-11-20,Figure AI,humanoid,malfunction,no_harm,"Spartanburg, South Carolina, USA",report,1
TMR-0128,https://themachinerecord.com/case/a-software-engineer-inadvertently-discovered-a-security-vulnerability-in-dji-s-b-0128,"A software engineer inadvertently discovered a security vulnerability in DJI's backend servers that granted him access to live camera feeds, microphone audio, floor maps, and status data from nearly 7,000 DJI Romo robot vacuums across 24 countries.",2026-02-21,DJI,consumer,malfunction,no_harm,,report,1
TMR-0129,https://themachinerecord.com/case/nasa-s-robonaut-2-humanoid-robot-developed-with-general-motors-and-installed-on--0129,"NASA's Robonaut 2 humanoid robot, developed with General Motors and installed on the International Space Station, suffered progressive hardware failures beginning in 2015 traced to a missing ground cable and was being returned to Earth for repairs as of February 2018.",2015-01-01,NASA,humanoid,malfunction,no_harm,International Space Station,report,1
TMR-0130,https://themachinerecord.com/case/a-unitree-g1-humanoid-robot-deviated-from-its-planned-martial-arts-demonstration-0130,"A Unitree G1 humanoid robot deviated from its planned martial arts demonstration at a UFC event in Shanghai and moved toward UFC boss Dana White, who dodged away unharmed.",2025-08-23,Unitree Robotics,humanoid,malfunction,no_harm,"Shanghai, China",report,1
TMR-0131,https://themachinerecord.com/case/a-humanoid-robot-malfunctioned-at-a-festival-in-china-and-moved-toward-attendees-0131,"A humanoid robot malfunctioned at a festival in China and moved toward attendees, prompting security guards to intervene; authorities confirmed the malfunction was unexpected and that the robot had passed prior tests.",2025-02-22,Unitree Robotics,humanoid,injury,minor_injury,China,follow_up,6
TMR-0133,https://themachinerecord.com/case/a-humanoid-robot-kicked-a-man-in-the-groin-area-during-a-sparring-session-drawin-0133,"A humanoid robot kicked a man in the groin area during a sparring session, drawing Elon Musk's reaction.",2025-12-29,,humanoid,injury,minor_injury,,report,1
TMR-0134,https://themachinerecord.com/case/a-man-in-his-40s-employed-by-an-industrial-robot-installation-company-was-crushe-0134,"A man in his 40s employed by an industrial robot installation company was crushed to death by a pick-and-place robotic arm at a vegetable-packaging plant in South Gyeongsang province, South Korea, after the robot apparently mistook him for a box of vegetables.",2023-11-07,,robot_arm,fatality,fatality,"South Gyeongsang province, South Korea",follow_up,6
TMR-0135,https://themachinerecord.com/case/a-robotics-company-employee-in-his-40s-was-crushed-to-death-by-a-robotic-arm-at--0135,"A robotics company employee in his 40s was crushed to death by a robotic arm at a pepper sorting plant in South Gyeongsang province, South Korea, after the arm confused him for a box of vegetables and pushed him against a conveyor belt.",2023-11-08,,robot_arm,fatality,fatality,"South Gyeongsang province, South Korea",follow_up,27
TMR-0136,https://themachinerecord.com/case/dunedin-robotics-company-charged-following-a-worker-s-death-involving-a-robot-0136,Dunedin robotics company charged following a worker's death involving a robot,2026-05-15,Scott Technology,other,fatality,fatality,"Dunedin, New Zealand",criminal_charge,2
TMR-0137,https://themachinerecord.com/case/twenty-year-old-a-person-was-crushed-to-death-inside-a-robotic-welding-station-a-0137,"A twenty-year-old worker was crushed to death inside a robotic welding station at the Ajin USA facility in Cusseta, Alabama, when the robot abruptly restarted while she and co-workers were clearing a sensor fault.",2016-06-18,,robot_arm,fatality,fatality,"Cusseta, Alabama, USA",lawsuit,7
TMR-0138,https://themachinerecord.com/case/j-t-beckham-a-man-in-his-20s-was-killed-when-he-was-pinned-by-a-welding-robot-at-0138,"J.T. Beckham, a man in his 20s, was killed when he was pinned by a welding robot at the Unipres USA manufacturing plant in Forest, Mississippi.",2022-09-01,,robot_arm,fatality,fatality,"Forest, Mississippi, USA",report,1
TMR-0139,https://themachinerecord.com/case/a-tesla-software-engineer-was-attacked-by-a-robot-at-tesla-s-a-person-factory-in-0139,"A Tesla software engineer was attacked by a robot at Tesla's Giga Texas factory in Austin when a third robot that had not been disabled pinned him and sank its metal claws into his back and arm, causing lacerations.",2021-12-31,Tesla,robot_arm,injury,serious_injury,"Austin, Texas, USA",lawsuit,13
TMR-0140,https://themachinerecord.com/case/robot-crushes-20-year-old-worker-to-death-at-hyundai-kia-supplier-facility-0140,Robot crushes 20-year-old worker to death at Hyundai/Kia supplier facility,2023-03-09,,robot_arm,fatality,fatality,USA,follow_up,2
TMR-0141,https://themachinerecord.com/case/chinese-robot-dog-malfunctioned-or-glitched-during-india-s-ai-summit-0141,Chinese robot dog malfunctioned or glitched during India's AI summit,2026-02-18,,service,malfunction,no_harm,India,report,1
TMR-0142,https://themachinerecord.com/case/youtuber-ishowspeed-was-set-on-fire-during-a-livestream-when-his-robot-dog-equip-0142,"YouTuber IShowSpeed was set on fire during a livestream when his robot dog equipped with a flamethrower shot flames at him multiple times, causing him to jump into a pool to escape.",2024-09-02,,consumer,injury,minor_injury,,report,1
TMR-0143,https://themachinerecord.com/case/a-self-driving-tesla-model-s-struck-and-destroyed-a-promobot-v4-autonomous-servi-0143,"A self-driving Tesla Model S struck and destroyed a Promobot v4 autonomous service robot in a parking lot street at 3000 Paradise Road, Las Vegas, while the robot was being transported to the Consumer Electronics Show venue.",2019-01-06,Promobot,service,collision,property_damage,"Las Vegas, Nevada, USA",report,1
TMR-0144,https://themachinerecord.com/case/two-construction-workers-in-washington-state-were-severely-injured-in-separate-i-0144,"Two construction workers in Washington State were severely injured in separate incidents involving remote-controlled demolition robots: one was pinned against a wall with his chest severely crushed, and another suffered broken bones and nerve damage when a machine came down on his foot.",2019-06-03,,other,injury,serious_injury,"Washington State, USA",report,1
TMR-0145,https://themachinerecord.com/case/a-baidu-apollo-go-robotaxi-carrying-a-female-passenger-fell-into-a-deep-construc-0145,"A Baidu Apollo Go robotaxi carrying a female passenger fell into a deep construction pit in Chongqing, China; the passenger was uninjured and rescued by local residents using a ladder.",2025-08-06,Baidu,autonomous_vehicle,collision,no_harm,"Chongqing, China",report,1
TMR-0146,https://themachinerecord.com/case/a-bear-robotics-administrative-robot-employed-by-gumi-city-council-fell-down-a-f-0146,"A Bear Robotics administrative robot employed by Gumi City Council fell down a flight of stairs between the first and second floors of the council building, destroying itself.",2024-07-05,Bear Robotics,service,other,property_damage,"Gumi, South Korea",report,1
TMR-0147,https://themachinerecord.com/case/a-fire-believed-to-have-been-sparked-by-a-robot-vacuum-broke-out-at-a-hanyang-ap-0147,"A fire believed to have been sparked by a robot vacuum broke out at a Hanyang Apartments unit in Apgujeong-dong, Gangnam District, Seoul, forcing more than 20 residents to evacuate and requiring 133 firefighting personnel to extinguish; one resident suffered dizziness from smoke inhalation.",2026-07-21,,consumer,fire,property_damage,"Seoul, South Korea",investigation,3
TMR-0148,https://themachinerecord.com/case/hackers-remotely-took-control-of-ecovacs-deebot-x2-robot-vacuums-in-multiple-us--0148,"Hackers remotely took control of Ecovacs Deebot X2 robot vacuums in multiple US cities, using their speakers to yell racial slurs at owners and their cameras to surveil homes.",2024-05-24,Ecovacs,consumer,other,no_harm,"Multiple US cities (including Minnesota, Los Angeles CA, El Paso TX), USA",follow_up,2
TMR-0149,https://themachinerecord.com/case/a-cleaning-robot-caught-fire-while-charging-in-ward-76-of-singapore-general-hosp-0149,"A cleaning robot caught fire while charging in Ward 76 of Singapore General Hospital, activating the sprinkler system and prompting evacuation of patients, with no injuries reported.",2024-06-08,,service,fire,property_damage,Singapore,follow_up,4
TMR-0150,https://themachinerecord.com/case/a-roomba-robotic-vacuum-cleaner-ran-over-dog-feces-and-spread-the-mess-across-ev-0150,"A Roomba robotic vacuum cleaner ran over dog feces and spread the mess across every surface throughout a home in Little Rock, Arkansas.",2016-08-15,iRobot,consumer,malfunction,property_damage,"Little Rock, Arkansas, USA",report,1
TMR-0151,https://themachinerecord.com/case/a-54-year-old-man-with-a-a-person-complete-spinal-cord-injury-sustained-bilatera-0151,"A 54-year-old man with a T10 complete spinal cord injury sustained bilateral proximal tibial fractures during a powered robotic exoskeleton physiotherapy session, requiring manipulation under anaesthetic and 12 weeks of non-weight-bearing treatment.",2024-04-16,,other,injury,serious_injury,,report,1
TMR-0152,https://themachinerecord.com/case/a-paralyzed-former-jockey-was-left-unable-to-use-his-rea-person-exoskeleton-afte-0152,"A paralyzed former jockey was left unable to use his ReWalk Personal exoskeleton after manufacturer Lifeward refused to service the device due to its age, before eventually agreeing to repair it following a public campaign.",2024-09-27,Lifeward,other,malfunction,no_harm,,report,1
TMR-0153,https://themachinerecord.com/case/reporter-trapped-inside-a-self-driving-robotaxi-during-an-anti-robot-protest-att-0153,Reporter trapped inside a self-driving robotaxi during an anti-robot protest attack on the vehicle.,2026-03-17,,autonomous_vehicle,other,no_harm,,report,1
TMR-0154,https://themachinerecord.com/case/a-man-claiming-to-be-an-amazon-warehouse-employee-posted-a-viral-tiktok-video-sh-0154,"A man claiming to be an Amazon warehouse employee posted a viral TikTok video showing himself temporarily trapped in an aisle by automatically moving robotic shelving units, taking approximately 15 minutes to find a way out with no reported injury.",2022-03-08,Amazon,warehouse_amr,other,no_harm,,report,1
TMR-0155,https://themachinerecord.com/case/a-worker-at-ventra-ionia-main-was-trapped-by-robotic-machinery-and-pronounced-de-0155,"A worker at Ventra Ionia Main was trapped by robotic machinery and pronounced dead at the scene in Ionia, Michigan.",2015-07-07,,robot_arm,fatality,fatality,"Ionia, Michigan, USA",report,2
TMR-0156,https://themachinerecord.com/case/a-man-was-crushed-to-death-by-the-compactor-mechanism-of-an-automated-dumpster-i-0156,"A man was crushed to death by the compactor mechanism of an automated dumpster in Alexandroupolis, Greece, after reaching inside the bin.",2022-05-16,,industrial,fatality,fatality,"Alexandroupolis, Greece",report,1
TMR-0157,https://themachinerecord.com/case/dallas-pd-used-a-robot-to-kill-a-suspect-after-negotiations-failed-during-a-stan-0157,Dallas PD used a robot to kill a suspect after negotiations failed during a standoff.,2016-07-07,,other,fatality,fatality,"Dallas, Texas, USA",report,1
TMR-0158,https://themachinerecord.com/case/robot-glitch-at-honda-factory-caused-vehicles-to-be-assembled-with-loose-driver--0158,"Robot glitch at Honda factory caused vehicles to be assembled with loose driver's seats, leading to a recall",2026-02-05,Honda,robot_arm,malfunction,property_damage,,report,1
TMR-0159,https://themachinerecord.com/case/a-serve-robotics-food-delivery-robot-crashed-into-and-shattered-the-glass-of-a-c-0159,"A Serve Robotics food delivery robot crashed into and shattered the glass of a CTA bus shelter at Grand and Racine in Chicago's West Town neighborhood, with no injuries reported.",2026-03-23,Serve Robotics,delivery,collision,property_damage,"Chicago, Illinois, USA",follow_up,4
TMR-0160,https://themachinerecord.com/case/a-robotic-vacuum-exploded-at-a-family-home-in-fenton-raising-concerns-about-a-br-0160,"A robotic vacuum exploded at a family home in Fenton, raising concerns about a broader safety problem",2024-03-05,,consumer,fire,property_damage,"Fenton, Missouri",report,1
TMR-0161,https://themachinerecord.com/case/a-deebot-ecovac-robotic-vacuum-is-suspected-of-catching-fire-in-a-fort-thomas-ke-0161,"A Deebot Ecovac robotic vacuum is suspected of catching fire in a Fort Thomas, Kentucky home, causing damage to the property while the owner escaped unharmed.",2019-02-14,Ecovacs,consumer,fire,property_damage,"Fort Thomas, Kentucky, USA",report,2
TMR-0162,https://themachinerecord.com/case/a-driverless-cruise-autonomous-vehicle-was-struck-by-a-semi-truck-performing-a-l-0162,"A driverless Cruise autonomous vehicle was struck by a semi-truck performing a left turn from the right lane near Golden Gate Park in San Francisco, sustaining damage to its passenger-side mirror, a camera, and a tire, with no passengers in the vehicle and no injuries reported.",2023-08-07,Cruise,autonomous_vehicle,collision,property_damage,"San Francisco, California, USA",report,1
TMR-0164,https://themachinerecord.com/case/an-unoccupied-zoox-robotaxi-was-struck-by-an-electric-scooter-at-a-san-francisco-0164,"An unoccupied Zoox robotaxi was struck by an electric scooter at a San Francisco intersection after braking to yield, causing the rider to fall; the robotaxi continued moving and completed a turn before stopping without making further contact with the rider, who sustained minor injuries.",2025-05-08,Zoox,autonomous_vehicle,recall,minor_injury,"San Francisco, California, USA",recall,9
TMR-0165,https://themachinerecord.com/case/a-robot-vacuum-cleaner-reactivated-itself-on-a-kitchen-worktop-in-austria-pushed-0165,"A robot vacuum cleaner reactivated itself on a kitchen worktop in Austria, pushed a cooking pot aside, landed on a hot stove element, melted and caught fire, causing smoke damage that rendered the home uninhabitable.",2013-11-13,,consumer,malfunction,property_damage,Austria,report,1
TMR-0167,https://themachinerecord.com/case/a-person-an-employee-of-n-c-enterprises-ltd-in-kilmeague-was-struck-and-killed-b-0167,An employee of N&C Enterprises Ltd. in Kilmeague was struck and killed by a rotating robotic arm after entering a restricted area through a retrofitted gate that bypassed the plant's safety protections.,2025-05-26,,robot_arm,fatality,fatality,"Kilmeague, Ireland",report,1
TMR-0168,https://themachinerecord.com/case/a-worker-was-crushed-to-death-under-a-robotic-arm-0168,A worker was crushed to death under a robotic arm.,2013-12-04,,robot_arm,fatality,fatality,,report,1
TMR-0169,https://themachinerecord.com/case/a-newlywed-employee-at-a-co-armagh-firm-was-killed-by-a-falling-robot-resulting--0169,"A newlywed employee at a Co Armagh firm was killed by a falling robot, resulting in the company being fined £50,000.",2019-03-22,,robot_arm,fatality,fatality,"County Armagh, Northern Ireland, UK",report,1
